Italy	Rome
Dominican Republic	Santo Domingo
Bolivia	La Paz
Austria	Vienna
Argentina	Buenos Aires
Algeria	Algiers
Alabama	Montgomery
Afghanistan	Kabul


Alaska	Juneau

Alberta	Edmonton


Angola	Luanda

Antigua and Barbuda	St. John's


Armenia	Yerevan
Arkansas	Little Rock
Arizona	Phoenix



Australia	Canberra


Belgium	Brussels
Bangladesh	Dhaka
Bahrain	Manama
Azerbaijan	Baku



Belarus	Minsk
Barbados	Bridgetown



Benin	Porto-Novo
Belize	Belmopan


Bhutan	Thimphu
Bermuda	Hamilton



China	Beijing
Burkina Faso	Ouagadougou
Brazil	Brasilia
Botswana	Gaborone
Bosnia-Herzegovia	Sarajevo



Bulgaria	Sofia
British Columbia	Victoria



Canada	Ottawa
California	Sacramento
Burundi	Gitega


Cambodia	Phnom Penh


Chad	N'Djamena
Cape Verde	Praia

Central African Republic	Bangui


Chile	Santiago


Cuba	Havana
Comoros	Moroni
Colombia	Bogota

Colorado	Denver


Costa Rica	San Jose
Connecticut	Hartford


Croatia	Zagreb


Denmark	Copenhagen
Czech Republic	Prague
Cyprus	Nicosia


Democratic Republic of the Congo	Kinshasa
Delaware	Dover



Djibouti	Djibouti

Dominica	Roseau


France	Paris
Estonia	Talinn
El Salvador	San Salvador
Ecuador	Quito

Egypt	Cairo


Equatorial Guinea	Malabo
England	London


Eritrea	Asmara


Fiji	Suva
Ethiopia	Addis Ababa


Finland	Helsinki

Florida	Tallahassee


Honduras	Tegucigalpa
Guatemala	Guatemala City
Germany	Berlin
Georgia	Tbilisi
Gabon	Libreville



Greece	Athens
Ghana	Accra


Grenada	St. George's


Guinea-Bissau	Bissau
Guinea	Conakry


Haiti	Port-au-Prince
Guyana	Georgetown


Hawaii	Honolulu


India	New Delhi
Iceland	Reykjavik
Hungary	Budapest


Illinois	Springfield
Idaho	Boise



Iran	Tehran
Indonesia	Jakarta
Indiana	Indianapolis


Iowa	Des Moines


Iraq	Baghdad

Ireland	Dublin


Russia	Moscow
Mexico	Mexico City
Libya	Tripoli
Kuwait	Kuwait City
Kazakhstan	Astana
Japan	Tokyo
Jamaica	Kingston
Ivory Coast	Abidjan, Yamoussoukro



Jordan	Amman

Kansas	Topeka


Kenya	Nairobi
Kentucky	Frankfort


Kosovo	Pristina


Lebanon	Beirut
Laos	Vientiane
Kyrgyzstan	Bishkek


Latvia	Riga


Liberia	Monrovia


Malaysia	Kuala Lumpur
Madagascar	Antananarivo
Lithuania	Vilnius

Louisiana	Baton Rouge


Malawi	Lilongwe
Maine	Augusta



Massachusetts	Boston
Mali	Bamako
Maldives	Male


Maryland	Annapolis
Manitoba	Winnipeg



Mauritania	Nouakchott

Mauritius	Port Louis


Nicaragua	Managua
Mozambique	Maputo
Moldova	Chisinau
Mississippi	Jackson
Michigan	Lansing

Minnesota	St. Paul


Missouri	Jefferson City


Montenegro	Podgorica
Mongolia	Ulaanbaatar

Montana	Helena


Morocco	Rabat


New Jersey	Trenton
Nepal	Kathmandu
Namibia	Windhoek
Myanmar	Naypyidaw


Nebraska	Lincoln


New Brunswick	Fredericton
Nevada	Carson City


New Hampshire	Concord


New York	Albany
New Mexico	Santa Fe


New Zealand	Wellington

Newfoundland and Labrador	St. John's


Peru	Lima
Oman	Muscat
North Korea	Pyongyang
Nigeria	Abuja
Niger	Niamey


North Carolina	Raleigh

North Dakota	Bismarck


Norway	Oslo
Northern Ireland	Belfast
North Macedonia	Skopje



Ohio	Columbus
Nova Scotia	Halifax


Oklahoma	Oklahoma City


Panama	Panama City
Pakistan	Islamabad
Oregon	Salem
Ontario	Toronto



Palestine	Jerusalem


Paraguay	Asuncion
Papua New Guinea	Port Moresby


Pennsylvania	Harrisburg


Qatar	Doha
Portugal	Lisbon
Poland	Warsaw
Philippines	Manila



Puerto Rico	San Juan
Prince Edward Island	Charlottetown



Republic of the Congo	Brazzaville
Quebec	Quebec City


Rhode Island	Providence

Rumania	Bucharest


Switzerland	Bern
South Africa	Pretoria
Serbia	Belgrade
Saudi Arabia	Riyadh
Saint Vincent and the Grenadines	Kingstown
Saint Kitts and Nevis	Basseterre
Rwanda	Kigali


Saint Lucia	Castries


Samoa	Apia

Saskatchewan	Regina


Senegal	Dakar
Scotland	Edinburgh



Slovenia	Ljubljana
Sierra Leone	Freetown
Seychelles	Victoria


Singapore	Singapore


Somaliland	Hageisa
Somalia	Mogadishu



Spain	Madrid
South Korea	Seoul
South Carolina	Columbia

South Dakota	Pierre


South Sudan	Juba


Suriname	Paramaribo
Sudan	Khartoum
Sri Lanka	Colombo



Sweden	Stockholm


Turkey	Ankara
Timor-Leste	Dili
Tanzania	Dodoma
Taiwan	Taipei
Syria	Damascus


Tajikistan	Dushanbe


The Bahamas	Nassau
Texas	Austin
Tennessee	Nashville


Thailand	Bangkok


The Gambia	Banjul

The Netherlands	Amsterdam


Tonga	Nuku'alofa
Togo	Lome


Tunisia	Tunis
Trinidad and Tobago	Port of Spain



Venezuela	Caracas
United Kingdom	London
Ukraine	Kyiv
Tuvalu	Funafuti
Turkmenistan	Ashgabat


Uganda	Kampala


